branch,day_of_week,hour,avg_active_employees,median_active_employees,min_active_employees,max_active_employees,slot_observations,observed_days,support_rows,slot_num_orders,branch_total_customer_rows_in_overlap,branch_total_num_orders_in_overlap,branch_staffed_slot_count,shape_weight_rows,shape_support_strength,shape_weight_num_orders,avg_sales_total_customers,avg_sales_delivery_customers,avg_sales_delivery_share,delivery_customer_profiles,delivery_num_orders,observed_profile_share,share_source,confidence,note,recent_revenue_month,recent_revenue,recent_revenue_share_staffed_branches,overlap_proxy_order_share,sales_to_proxy_gap_ratio,sales_calibration_multiplier,delivery_share_low,delivery_share_base,delivery_share_high,multiplier_low_demand,multiplier_base_demand,multiplier_high_demand,delivery_orders_est,total_orders_est_low,total_orders_est_base,total_orders_est_high,shift_bucket,shift_target,branch_target,target_orders_per_employee,required_employees_low,required_employees_base,required_employees_high,gap_low,gap_base,gap_high,status,explanation
Conut - Tyre,Friday,11,1.0,1.0,1,1,1,1,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.0285530959255694,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0,morning,,20.6245,20.6245,1,1,1,0.0,0.0,0.0,balanced,"Conut - Tyre on Friday at 11:00 — balanced. Active: 1.0, required: 1.0 (gap=+0.0). Estimated orders: 0.0 total, 0.0 delivery. Staffing level is appropriate."
Conut - Tyre,Friday,12,1.0,1.0,1,1,4,4,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.0285530959255694,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0,afternoon,32.4911,20.6245,32.4911,1,1,1,0.0,0.0,0.0,balanced,"Conut - Tyre on Friday at 12:00 — balanced. Active: 1.0, required: 1.0 (gap=+0.0). Estimated orders: 0.0 total, 0.0 delivery. Staffing level is appropriate."
Conut - Tyre,Friday,13,1.0,1.0,1,1,4,4,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.0285530959255694,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0,afternoon,32.4911,20.6245,32.4911,1,1,1,0.0,0.0,0.0,balanced,"Conut - Tyre on Friday at 13:00 — balanced. Active: 1.0, required: 1.0 (gap=+0.0). Estimated orders: 0.0 total, 0.0 delivery. Staffing level is appropriate."
Conut - Tyre,Friday,14,1.25,1.0,1,2,4,4,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.0285530959255694,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0,afternoon,32.4911,20.6245,32.4911,1,1,1,-0.25,-0.25,-0.25,balanced,"Conut - Tyre on Friday at 14:00 — balanced. Active: 1.2, required: 1.0 (gap=-0.2). Estimated orders: 0.0 total, 0.0 delivery. Staffing level is appropriate."
Conut - Tyre,Friday,15,2.0,2.0,1,3,4,4,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.0285530959255694,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0,afternoon,32.4911,20.6245,32.4911,1,1,1,-1.0,-1.0,-1.0,overstaffed,"Conut - Tyre on Friday at 15:00 — overstaffed. Active: 2.0, required: 1.0 (gap=-1.0). Estimated orders: 0.0 total, 0.0 delivery. Could reduce by 1.0 employees."
Conut - Tyre,Friday,16,2.5,2.5,1,4,4,4,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.0285530959255694,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0,afternoon,32.4911,20.6245,32.4911,1,1,1,-1.5,-1.5,-1.5,overstaffed,"Conut - Tyre on Friday at 16:00 — overstaffed. Active: 2.5, required: 1.0 (gap=-1.5). Estimated orders: 0.0 total, 0.0 delivery. Could reduce by 1.5 employees."
Conut - Tyre,Friday,17,2.75,2.5,2,4,4,4,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.0285530959255694,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0,evening,19.2059,20.6245,19.2059,1,1,1,-1.75,-1.75,-1.75,overstaffed,"Conut - Tyre on Friday at 17:00 — overstaffed. Active: 2.8, required: 1.0 (gap=-1.8). Estimated orders: 0.0 total, 0.0 delivery. Could reduce by 1.8 employees."
Conut - Tyre,Friday,18,3.0,3.0,2,4,4,4,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.0285530959255694,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0,evening,19.2059,20.6245,19.2059,1,1,1,-2.0,-2.0,-2.0,overstaffed,"Conut - Tyre on Friday at 18:00 — overstaffed. Active: 3.0, required: 1.0 (gap=-2.0). Estimated orders: 0.0 total, 0.0 delivery. Could reduce by 2.0 employees."
Conut - Tyre,Friday,19,3.0,3.0,2,4,4,4,2,2.0,21,23,96,0.0952380952380952,1.0,0.0869565217391304,3117.0,79.0,0.025345,89,94,0.0285530959255694,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,2.1905,72.022,86.4263,108.033,evening,19.2059,20.6245,19.2059,4,5,6,1.0,2.0,3.0,understaffed,"Conut - Tyre on Friday at 19:00 — understaffed. Active: 3.0, required: 5.0 (gap=+2.0). Estimated orders: 86.4 total, 2.2 delivery. Need 2.0 more employees."
Conut - Tyre,Friday,20,2.75,2.5,2,4,4,4,1,1.0,21,23,96,0.0476190476190476,1.0,0.0434782608695652,3117.0,79.0,0.025345,89,94,0.0285530959255694,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,1.0952,36.011,43.2132,54.0165,evening,19.2059,20.6245,19.2059,2,3,3,-0.75,0.25,0.25,balanced,"Conut - Tyre on Friday at 20:00 — balanced. Active: 2.8, required: 3.0 (gap=+0.2). Estimated orders: 43.2 total, 1.1 delivery. Staffing level is appropriate."
