branch,day_of_week,hour,support_rows,slot_num_orders,branch_total_customer_rows_in_overlap,branch_total_num_orders_in_overlap,branch_staffed_slot_count,shape_weight_rows,shape_support_strength,shape_weight_num_orders,avg_sales_total_customers,avg_sales_delivery_customers,avg_sales_delivery_share,delivery_customer_profiles,delivery_num_orders,observed_profile_share,share_source,confidence,note,recent_revenue_month,recent_revenue,recent_revenue_share_staffed_branches,overlap_proxy_order_share,sales_to_proxy_gap_ratio,sales_calibration_multiplier,delivery_share_low,delivery_share_base,delivery_share_high,multiplier_low_demand,multiplier_base_demand,multiplier_high_demand,delivery_orders_est,total_orders_est_low,total_orders_est_base,total_orders_est_high
Conut - Tyre,Friday,11,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Friday,12,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Friday,13,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Friday,14,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Friday,15,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Friday,16,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Friday,17,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Friday,18,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Friday,19,2,2.0,21,23,96,0.09523809523809523,1.0,0.08695652173913043,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,2.1905,72.022,86.4263,108.033
Conut - Tyre,Friday,20,1,1.0,21,23,96,0.047619047619047616,1.0,0.043478260869565216,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,1.0952,36.011,43.2132,54.0165
Conut - Tyre,Friday,21,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Friday,22,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Friday,23,2,2.0,21,23,96,0.09523809523809523,1.0,0.08695652173913043,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,2.1905,72.022,86.4263,108.033
Conut - Tyre,Monday,11,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Monday,12,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Monday,13,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Monday,14,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Monday,15,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Monday,16,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Monday,17,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Monday,18,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Monday,19,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Monday,20,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Monday,21,1,1.0,21,23,96,0.047619047619047616,1.0,0.043478260869565216,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,1.0952,36.011,43.2132,54.0165
Conut - Tyre,Monday,22,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Monday,23,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Saturday,11,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Saturday,12,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
Conut - Tyre,Saturday,13,0,0.0,21,23,96,0.0,1.0,0.0,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194,0.0,0.0,0.0,0.0
