canonical_item_name,division,group,category,modifier_flag,beverage_flag
ADD ICE CREAM,Extras and Sides,Extras and Sides,core_food,False,False
AFFOGATO,CONUT''S FAVORITE,CONUT''S FAVORITE,core_food,False,False
AMERICAN COFFEE,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,False,True
ARGENTINA,Holder,Holders,modifier,True,False
BALKIS LEMONADE,Hot and Cold Drinks,Hot and Cold Drinks,other_beverage,False,True
BLUEBERRIES (P),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
"BLUEBERRIES , (P)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,core_food,False,False
BLUEBERRIES .(P),FREE MINI TOP,FREE MINI TOP,core_food,False,False
"BLUEBERRIES, (P)",FREE CONUT TOP,FREE CONUT TOP,core_food,False,False
BLUEBERRIES.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
BOSTON CHEESECAKE CHIMNEY,ITEMS,ITEMS,modifier,True,False
BOSTON CHEESECAKE CONUT,ITEMS,ITEMS,modifier,True,False
BOSTON CHEESECAKE MINI,ITEMS,ITEMS,modifier,True,False
BROWNIES (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
"BROWNIES , (R)",FREE CONUT TOP,FREE CONUT TOP,modifier,True,False
BROWNIES . (R),FREE CHIMNEY TOP,FREE CHIMNEY TOP,modifier,True,False
"BROWNIES,(R)",FREE MINI TOP,FREE MINI TOP,modifier,True,False
BROWNIES.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
CAFE MOCHA,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,False,True
CAFFE AMERICANO,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,False,True
CAFFE LATTE,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,False,True
CAPPUCCINO,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,False,True
"CARAMEL  SAUCE,",Bev Add-ons,Bev Add-ons,core_food,False,False
CARAMEL DIP (R),EXTRA DIP,EXTRA DIP,core_food,False,False
CARAMEL DIP.(R),free dip,free dip,modifier,True,False
CARAMEL FRAPPE,Frappes,Frappes,coffee_cold,False,True
CARAMEL MACHIATO,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,False,True
CARAMEL MOCHA FRAPPE,Frappes,Frappes,coffee_cold,False,True
"CARAMEL SAUCE  ,(R)",FREE MINI TOP,FREE MINI TOP,modifier,True,False
CARAMEL SAUCE (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
"CARAMEL SAUCE , (R)",FREE CONUT TOP,FREE CONUT TOP,modifier,True,False
"CARAMEL SAUCE, (R)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,modifier,True,False
CARAMEL SAUCE.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
CHERRY JAM (P),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
"CHERRY JAM ,(P)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,core_food,False,False
CHERRY JAM .(P),FREE MINI TOP,FREE MINI TOP,core_food,False,False
CHERRY JAM DIP (P),EXTRA DIP,EXTRA DIP,core_food,False,False
CHERRY JAM DIP.(P),free dip,free dip,core_food,False,False
"CHERRY JAM, (P)",FREE CONUT TOP,FREE CONUT TOP,core_food,False,False
