branch,item,division,group,category,qty,amount,item_share,item_rank,attach_tendency,beverage_opportunity_flag
Conut - Tyre,AMERICAN COFFEE,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,8.0,2860540.5,0.00052,59,0.001046,False
Conut - Tyre,CAPPUCCINO,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,1.0,417162.16,7.6e-05,93,0.000131,False
Conut - Tyre,CAFFE LATTE,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,47.0,19606621.36,0.003561,33,0.006143,False
Conut - Tyre,CAFE MOCHA,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,5.0,2536081.12,0.000461,61,0.000654,False
Conut - Tyre,CARAMEL MACHIATO,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,7.0,3754459.41,0.000682,52,0.000915,False
Conut - Tyre,CAFFE AMERICANO,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,4.0,953513.5,0.000173,80,0.000523,False
Conut - Tyre,SINGLE ESPRESSO,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,29.0,6912972.88,0.001256,46,0.00379,False
Conut - Tyre,DOUBLE ESPRESSO,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,55.0,18063783.51,0.003281,34,0.007189,False
Conut - Tyre,ESPRESSO MACCHIATO,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,1.0,328432.43,6e-05,98,0.000131,False
Conut - Tyre,WHITE MOCHA,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,6.0,3043297.34,0.000553,57,0.000784,False
Conut - Tyre,FLAT WHITE,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,1.0,388027.02,7e-05,95,0.000131,False
Conut - Tyre,HOT CHOCOLATE COMBO,Hot-Coffee Based,Hot-Coffee Based,coffee_hot,20.0,13243243.23,0.002405,35,0.002614,False
Conut - Tyre,"CARAMEL  SAUCE,",Bev Add-ons,Bev Add-ons,core_food,2.0,180108.1,3.3e-05,105,0.000261,True
Conut - Tyre,VANILLA SYRUP,Bev Add-ons,Bev Add-ons,core_food,3.0,270162.16,4.9e-05,100,0.000392,True
Conut - Tyre,MOCHA FRAPPE,Frappes,Frappes,coffee_cold,14.0,7508918.82,0.001364,43,0.00183,False
Conut - Tyre,CARAMEL MOCHA FRAPPE,Frappes,Frappes,coffee_cold,10.0,5363513.44,0.000974,49,0.001307,False
Conut - Tyre,HAZELNUT MOCHA FRAPPE,Frappes,Frappes,coffee_cold,3.0,1609054.03,0.000292,72,0.000392,False
Conut - Tyre,CARAMEL FRAPPE,Frappes,Frappes,coffee_cold,51.0,27353918.55,0.004968,30,0.006666,False
Conut - Tyre,VANILLA FRAPPE,Frappes,Frappes,coffee_cold,2.0,1072702.69,0.000195,79,0.000261,False
Conut - Tyre,WHITE MOCHA FRAPPE,Frappes,Frappes,coffee_cold,5.0,2681756.72,0.000487,60,0.000654,False
Conut - Tyre,HAZELNUT FRAPPE,Frappes,Frappes,coffee_cold,2.0,1072702.69,0.000195,79,0.000261,False
Conut - Tyre,MATCHA FRAPPE,Frappes,Frappes,coffee_cold,3.0,1879216.23,0.000341,67,0.000392,False
Conut - Tyre,SALTED CARAMEL FRAPPE,Frappes,Frappes,coffee_cold,2.0,1072702.69,0.000195,79,0.000261,False
Conut - Tyre,ESPRESSO FRAPPE,Frappes,Frappes,coffee_cold,5.0,2238108.08,0.000406,64,0.000654,False
Conut - Tyre,TOFFEE NUT FRAPPE,Frappes,Frappes,coffee_cold,6.0,3218108.07,0.000584,55,0.000784,False
Conut - Tyre,VANILLA MILKSHAKE,Shakes,Shakes,milkshake,18.0,9654324.2,0.001753,39,0.002353,False
Conut - Tyre,OREO MILKSHAKE,Shakes,Shakes,milkshake,28.0,20023783.93,0.003637,31,0.00366,False
Conut - Tyre,STRAWBERRY MILKSHAKE,Shakes,Shakes,milkshake,12.0,8581621.68,0.001559,41,0.001568,False
Conut - Tyre,MATCHA MILKSHAKE,Shakes,Shakes,milkshake,2.0,1787837.84,0.000325,69,0.000261,False
Conut - Tyre,SALTED CARAMEL MILKSHAKE,Shakes,Shakes,milkshake,4.0,3098918.94,0.000563,56,0.000523,False
Conut - Tyre,PISTACHIO MILKSHAKE,Shakes,Shakes,milkshake,8.0,7151351.37,0.001299,44,0.001046,False
Conut - Tyre,GRANOLA BERRIES MILKSHAKE,Shakes,Shakes,milkshake,1.0,774729.73,0.000141,83,0.000131,False
Conut - Tyre,DOUBLE CHOCOLATE MILKSHAKE,Shakes,Shakes,milkshake,2.0,1549459.47,0.000281,73,0.000261,False
Conut - Tyre,FRUIT LOOPS MILKSHAKE,Shakes,Shakes,milkshake,1.0,774729.73,0.000141,83,0.000131,False
Conut - Tyre,TOFFEE NUT MILKSHAKE,Shakes,Shakes,milkshake,1.0,774729.73,0.000141,83,0.000131,False
Conut - Tyre,WATER,Hot and Cold Drinks,Hot and Cold Drinks,other_beverage,473.0,37584321.76,0.006826,26,0.061822,False
Conut - Tyre,BALKIS LEMONADE,Hot and Cold Drinks,Hot and Cold Drinks,other_beverage,1.0,238378.38,4.3e-05,102,0.000131,False
Conut - Tyre,MANGO PASSION,Hot and Cold Drinks,Hot and Cold Drinks,other_beverage,10.0,4171621.57,0.000758,51,0.001307,False
Conut - Tyre,MELON PASSION,Hot and Cold Drinks,Hot and Cold Drinks,other_beverage,3.0,1251486.47,0.000227,77,0.000392,False
Conut - Tyre,WILD BERRIES,Hot and Cold Drinks,Hot and Cold Drinks,other_beverage,3.0,1251486.47,0.000227,77,0.000392,False
Conut - Tyre,WILD BERRIES PASSION,Hot and Cold Drinks,Hot and Cold Drinks,other_beverage,3.0,1251486.47,0.000227,77,0.000392,False
Conut - Tyre,PEACH ICED TEA,Hot and Cold Drinks,TEA FLAVORS,other_beverage,29.0,12097702.54,0.002197,36,0.00379,False
Conut - Tyre,RASPBERRY ICED TEA,Hot and Cold Drinks,TEA FLAVORS,other_beverage,10.0,4171621.57,0.000758,51,0.001307,False
Conut - Tyre,ADD ICE CREAM,Extras and Sides,Extras and Sides,core_food,183.0,87246485.32,0.015846,19,0.023918,True
Conut - Tyre,DELIVERY CHARGE,Delivery Service,Delivery,core_food,83.0,19785405.14,0.003594,32,0.010848,True
Conut - Tyre,PISTACHIO SPREAD CONUT.,Free Conut Spreads,Free Conut Spreads,core_food,4.0,121837.83,2.2e-05,107,0.000523,True
Conut - Tyre,PISTACHIO SPREAD CHIMNEY.,Free Chimney Cake Spreads,Free Chimney Cake Spreads,core_food,11.0,655540.53,0.000119,88,0.001438,True
Conut - Tyre,CLASSIC CHIMNEY,ITEMS,ITEMS,core_food,301.0,179379731.76,0.03258,9,0.039341,True
Conut - Tyre,MINI THE ONE,ITEMS,ITEMS,core_food,254.0,128832920.78,0.023399,12,0.033198,True
Conut - Tyre,MINI THE ORIGINAL,ITEMS,ITEMS,core_food,184.0,87723242.07,0.015933,18,0.024049,True
Conut - Tyre,CONUT THE ORIGINAL,ITEMS,ITEMS,core_food,380.0,328617838.79,0.059686,5,0.049667,True
Conut - Tyre,CHIMNEY THE ORIGINAL,ITEMS,ITEMS,core_food,140.0,166864864.7,0.030307,10,0.018298,True
Conut - Tyre,CONUT THE ONE,ITEMS,ITEMS,core_food,680.0,607864866.76,0.110404,2,0.088877,True
Conut - Tyre,CHIMNEY THE ONE,ITEMS,ITEMS,core_food,635.0,794693917.66,0.144337,1,0.082996,True
Conut - Tyre,MINI PISTACHIO,ITEMS,ITEMS,core_food,134.0,83938325.09,0.015245,20,0.017514,True
Conut - Tyre,CONUT PISTACHIO,ITEMS,ITEMS,core_food,326.0,330273243.63,0.059986,4,0.042609,True
Conut - Tyre,CHIMNEY PISTACHIO,ITEMS,ITEMS,core_food,227.0,324671350.36,0.058969,6,0.029669,True
Conut - Tyre,MINI BOSTON CHEESECAKE,ITEMS,ITEMS,core_food,61.0,32717432.0,0.005942,27,0.007973,True
Conut - Tyre,CONUT BOSTON CHEESECAKE,ITEMS,ITEMS,core_food,121.0,111849783.99,0.020315,13,0.015815,True
Conut - Tyre,CHIMNEY BOSTON CHEESECAKE,ITEMS,ITEMS,core_food,60.0,78664864.7,0.014288,21,0.007842,True
Conut - Tyre,MINI BERRY MIX,ITEMS,ITEMS,core_food,102.0,51736054.8,0.009397,25,0.013332,True
Conut - Tyre,CONUT BERRY MIX,ITEMS,ITEMS,core_food,228.0,203813514.15,0.037018,8,0.0298,True
Conut - Tyre,CHIMNEY BERRY MIX,ITEMS,ITEMS,core_food,86.0,107627837.67,0.019548,15,0.01124,True
Conut - Tyre,ICE CREAM BOWL,ITEMS,ITEMS,core_food,266.0,158521623.42,0.028792,11,0.034767,True
Conut - Tyre,CONUT BITES,ITEMS,ITEMS,core_food,114.0,74731622.3,0.013573,22,0.0149,True
Conut - Tyre,CINNAMON SUGAR RINGS,ITEMS,ITEMS,core_food,22.0,9177567.45,0.001667,40,0.002875,True
Conut - Tyre,CHOCOLATE CHIPS RINGS,ITEMS,ITEMS,core_food,5.0,2383783.75,0.000433,63,0.000654,True
Conut - Tyre,CONUT TRIPLE CHOCOLATE,ITEMS,ITEMS,core_food,422.0,390087676.4,0.07085,3,0.055156,True
Conut - Tyre,MINI TRIPLE CHOCOLATE,ITEMS,ITEMS,core_food,169.0,90643377.17,0.016463,16,0.022089,True
Conut - Tyre,CHIMNEY TRIPLE CHOCOLATE,ITEMS,ITEMS,core_food,225.0,294993242.62,0.053579,7,0.029408,True
Conut - Tyre,CHIMNEY COMBO.,ITEMS,ITEMS,core_food,18.0,70798378.86,0.012859,23,0.002353,True
Conut - Tyre,CONUT COMBO,ITEMS,ITEMS,core_food,33.0,90464594.36,0.016431,17,0.004313,True
Conut - Tyre,THE SHARING BOX.,ITEMS,ITEMS,core_food,66.0,110130811.28,0.020003,14,0.008626,True
Conut - Tyre,TIRAMISU MINI CONUT,ITEMS,ITEMS,core_food,14.0,8343243.34,0.001515,42,0.00183,True
Conut - Tyre,TIRAMISU CONUT,ITEMS,ITEMS,core_food,33.0,31465946.01,0.005715,28,0.004313,True
Conut - Tyre,TIRAMISU CHIMNEY,ITEMS,ITEMS,core_food,43.0,56376486.37,0.010239,24,0.00562,True
Conut - Tyre,NUTELLA SPREAD MINI,EXTRA MINI SPREAD,EXTRA MINI SPREAD,core_food,6.0,357567.56,6.5e-05,97,0.000784,True
Conut - Tyre,NUTELLA SPREAD CONUT,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,core_food,16.0,1440864.84,0.000262,75,0.002091,True
Conut - Tyre,LOTUS SPREAD CONUT,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,core_food,3.0,270162.16,4.9e-05,100,0.000392,True
Conut - Tyre,WHITE CHOCOLATE SPREAD CONUT,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,core_food,2.0,180108.1,3.3e-05,105,0.000261,True
Conut - Tyre,PISTACHIO SPREAD CONUT,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,core_food,1.0,119189.19,2.2e-05,108,0.000131,True
Conut - Tyre,NUTELLA SPREAD CHIMNEY,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,core_food,16.0,2860540.5,0.00052,59,0.002091,True
