branch,month,year,revenue,month_num,date,is_partial_history,revenue_ma3,mom_growth,volatility,channel_delivery_share,beverage_share
Conut,August,2025,554074782.88,8,2025-08-01,False,554074782.88,,,0.0025,0.0468
Conut,September,2025,784385377.11,9,2025-09-01,False,669230080.0,0.4157,,0.0025,0.0468
Conut,October,2025,1137352241.41,10,2025-10-01,False,825270800.47,0.45,0.0243,0.0025,0.0468
Conut,November,2025,1351165728.11,11,2025-11-01,False,1090967782.21,0.188,0.1424,0.0025,0.0468
Conut,December,2025,67887513.35,12,2025-12-01,False,852135160.96,-0.9498,0.6608,0.0025,0.0468
Conut - Tyre,August,2025,477535459.07,8,2025-08-01,False,477535459.07,,,0.0385,0.0442
Conut - Tyre,September,2025,444800810.51,9,2025-09-01,False,461168134.79,-0.0685,,0.0385,0.0442
Conut - Tyre,October,2025,2100816729.45,10,2025-10-01,False,1007717666.34,3.7231,2.6811,0.0385,0.0442
Conut - Tyre,November,2025,1129526810.42,11,2025-11-01,False,1225048116.79,-0.4623,2.3112,0.0385,0.0442
Conut - Tyre,December,2025,1024205946.3,12,2025-12-01,False,1418183162.06,-0.0932,1.9738,0.0385,0.0442
Conut Jnah,August,2025,363540268.13,8,2025-08-01,False,363540268.13,,,,0.1464
Conut Jnah,September,2025,714037266.45,9,2025-09-01,False,538788767.29,0.9641,,,0.1464
Conut Jnah,October,2025,785925564.58,10,2025-10-01,False,621167699.72,0.1007,0.6105,,0.1464
Conut Jnah,November,2025,947652050.58,11,2025-11-01,False,815871627.2,0.2058,0.4711,,0.1464
Conut Jnah,December,2025,2878191130.49,12,2025-12-01,False,1537256248.55,2.0372,0.8938,,0.1464
Main Street Coffee,September,2025,145842540.35,9,2025-09-01,True,145842540.35,,,,0.0891
Main Street Coffee,October,2025,920588160.21,10,2025-10-01,True,533215350.28,5.3122,,,0.0891
Main Street Coffee,November,2025,1171534376.2,11,2025-11-01,True,745988358.92,0.2726,3.5635,,0.0891
Main Street Coffee,December,2025,3074216293.59,12,2025-12-01,True,1722112943.33,1.6241,2.6085,,0.0891
