branch,division,group,item,qty,amount,is_modifier,category,item_sales_share_within_branch,item_rank_within_branch,item_rank_within_division
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,AMERICAN COFFEE,8.0,2860540.5,False,coffee_hot,0.00052,59.0,7.0
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,CAPPUCCINO,1.0,417162.16,False,coffee_hot,7.6e-05,93.0,10.0
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,CAFFE LATTE,47.0,19606621.36,False,coffee_hot,0.003561,33.0,1.0
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,CAFE MOCHA,5.0,2536081.12,False,coffee_hot,0.000461,61.0,8.0
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,CARAMEL MACHIATO,7.0,3754459.41,False,coffee_hot,0.000682,52.0,5.0
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,CAFFE AMERICANO,4.0,953513.5,False,coffee_hot,0.000173,80.0,9.0
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,SINGLE ESPRESSO,29.0,6912972.88,False,coffee_hot,0.001256,46.0,4.0
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,DOUBLE ESPRESSO,55.0,18063783.51,False,coffee_hot,0.003281,34.0,2.0
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,ESPRESSO MACCHIATO,1.0,328432.43,False,coffee_hot,6e-05,98.0,12.0
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,WHITE MOCHA,6.0,3043297.34,False,coffee_hot,0.000553,57.0,6.0
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,FLAT WHITE,1.0,388027.02,False,coffee_hot,7e-05,95.0,11.0
Conut - Tyre,Hot-Coffee Based,Hot-Coffee Based,HOT CHOCOLATE COMBO,20.0,13243243.23,False,coffee_hot,0.002405,35.0,3.0
Conut - Tyre,Hot-Coffee Based,Free Dressing,[CARAMEL DRESSING],69.0,0.0,True,coffee_hot,,,
Conut - Tyre,Hot-Coffee Based,Free Dressing,[CHOCOLATE DRESSING],34.0,0.0,True,coffee_hot,,,
Conut - Tyre,Hot-Coffee Based,Free Dressing,[NO DRESSING],57.0,0.0,True,coffee_hot,,,
Conut - Tyre,Hot-Coffee Based,Free Dressing,[STRAWBERRY DRESSING],5.0,0.0,True,coffee_hot,,,
Conut - Tyre,Hot-Coffee Based,Free Dressing,[SALTED CARAMEL DRESSING],1.0,0.0,True,coffee_hot,,,
Conut - Tyre,Hot-Coffee Based,Free Whipped Cream,WHIPPED CREAM...,73.0,0.0,True,coffee_hot,,,
Conut - Tyre,Hot-Coffee Based,Free Whipped Cream,NO WHIPPED CREAM,107.0,0.0,True,coffee_hot,,,
Conut - Tyre,Hot-Coffee Based,CHIMNEY CAKE OPTIONS,PRESSED,292.0,0.0,True,coffee_hot,,,
Conut - Tyre,Hot-Coffee Based,CHIMNEY CAKE OPTIONS,REGULAR,9.0,0.0,True,coffee_hot,,,
Conut - Tyre,Hot-Coffee Based,OPTIONS ICE CREAM,ICE CREAM ON TOP,128.0,0.0,True,coffee_hot,,,
Conut - Tyre,Hot-Coffee Based,OPTIONS ICE CREAM,ICE CREAM ON THE SIDE,195.0,0.0,True,coffee_hot,,,
Conut - Tyre,Bev Add-ons,Bev Add-ons,"CARAMEL  SAUCE,",2.0,180108.1,False,core_food,3.3e-05,105.0,2.0
Conut - Tyre,Bev Add-ons,Bev Add-ons,VANILLA SYRUP,3.0,270162.16,False,core_food,4.9e-05,100.0,1.0
Conut - Tyre,Frappes,Frappes,MOCHA FRAPPE,14.0,7508918.82,False,coffee_cold,0.001364,43.0,2.0
Conut - Tyre,Frappes,Frappes,CARAMEL MOCHA FRAPPE,10.0,5363513.44,False,coffee_cold,0.000974,49.0,3.0
Conut - Tyre,Frappes,Frappes,HAZELNUT MOCHA FRAPPE,3.0,1609054.03,False,coffee_cold,0.000292,72.0,8.0
Conut - Tyre,Frappes,Frappes,CARAMEL FRAPPE,51.0,27353918.55,False,coffee_cold,0.004968,30.0,1.0
Conut - Tyre,Frappes,Frappes,VANILLA FRAPPE,2.0,1072702.69,False,coffee_cold,0.000195,79.0,9.0
Conut - Tyre,Frappes,Frappes,WHITE MOCHA FRAPPE,5.0,2681756.72,False,coffee_cold,0.000487,60.0,5.0
Conut - Tyre,Frappes,Frappes,HAZELNUT FRAPPE,2.0,1072702.69,False,coffee_cold,0.000195,79.0,9.0
Conut - Tyre,Frappes,Frappes,MATCHA FRAPPE,3.0,1879216.23,False,coffee_cold,0.000341,67.0,7.0
Conut - Tyre,Frappes,Frappes,SALTED CARAMEL FRAPPE,2.0,1072702.69,False,coffee_cold,0.000195,79.0,9.0
Conut - Tyre,Frappes,Frappes,ESPRESSO FRAPPE,5.0,2238108.08,False,coffee_cold,0.000406,64.0,6.0
Conut - Tyre,Frappes,Frappes,TOFFEE NUT FRAPPE,6.0,3218108.07,False,coffee_cold,0.000584,55.0,4.0
Conut - Tyre,Shakes,Shakes,VANILLA MILKSHAKE,18.0,9654324.2,False,milkshake,0.001753,39.0,2.0
Conut - Tyre,Shakes,Shakes,OREO MILKSHAKE,28.0,20023783.93,False,milkshake,0.003637,31.0,1.0
Conut - Tyre,Shakes,Shakes,STRAWBERRY MILKSHAKE,12.0,8581621.68,False,milkshake,0.001559,41.0,3.0
Conut - Tyre,Shakes,Shakes,MATCHA MILKSHAKE,2.0,1787837.84,False,milkshake,0.000325,69.0,6.0
Conut - Tyre,Shakes,Shakes,SALTED CARAMEL MILKSHAKE,4.0,3098918.94,False,milkshake,0.000563,56.0,5.0
Conut - Tyre,Shakes,Shakes,PISTACHIO MILKSHAKE,8.0,7151351.37,False,milkshake,0.001299,44.0,4.0
Conut - Tyre,Shakes,Shakes,GRANOLA BERRIES MILKSHAKE,1.0,774729.73,False,milkshake,0.000141,83.0,8.0
Conut - Tyre,Shakes,Shakes,DOUBLE CHOCOLATE MILKSHAKE,2.0,1549459.47,False,milkshake,0.000281,73.0,7.0
Conut - Tyre,Shakes,Shakes,FRUIT LOOPS MILKSHAKE,1.0,774729.73,False,milkshake,0.000141,83.0,8.0
Conut - Tyre,Shakes,Shakes,TOFFEE NUT MILKSHAKE,1.0,774729.73,False,milkshake,0.000141,83.0,8.0
Conut - Tyre,Hot and Cold Drinks,Hot and Cold Drinks,WATER,473.0,37584321.76,False,other_beverage,0.006826,26.0,1.0
Conut - Tyre,Hot and Cold Drinks,Hot and Cold Drinks,BALKIS LEMONADE,1.0,238378.38,False,other_beverage,4.3e-05,102.0,5.0
Conut - Tyre,Hot and Cold Drinks,Hot and Cold Drinks,MANGO PASSION,10.0,4171621.57,False,other_beverage,0.000758,51.0,3.0
Conut - Tyre,Hot and Cold Drinks,Hot and Cold Drinks,MELON PASSION,3.0,1251486.47,False,other_beverage,0.000227,77.0,4.0
Conut - Tyre,Hot and Cold Drinks,Hot and Cold Drinks,WILD BERRIES,3.0,1251486.47,False,other_beverage,0.000227,77.0,4.0
Conut - Tyre,Hot and Cold Drinks,Hot and Cold Drinks,WILD BERRIES PASSION,3.0,1251486.47,False,other_beverage,0.000227,77.0,4.0
Conut - Tyre,Hot and Cold Drinks,TEA FLAVORS,PEACH ICED TEA,29.0,12097702.54,False,other_beverage,0.002197,36.0,2.0
Conut - Tyre,Hot and Cold Drinks,TEA FLAVORS,RASPBERRY ICED TEA,10.0,4171621.57,False,other_beverage,0.000758,51.0,3.0
Conut - Tyre,Conuts,Conuts,NO CINNAMON,9.0,0.0,True,modifier,,,
Conut - Tyre,Extras and Sides,Extras and Sides,ADD ICE CREAM,183.0,87246485.32,False,core_food,0.015846,19.0,1.0
Conut - Tyre,Delivery Service,Delivery,DELIVERY CHARGE,83.0,19785405.14,False,core_food,0.003594,32.0,1.0
Conut - Tyre,Delivery Service,Delivery,SEND CUTLERY,2.0,0.0,True,modifier,,,
Conut - Tyre,Delivery Service,Delivery,DONT SEND CUTLERY,3.0,0.0,True,modifier,,,
Conut - Tyre,Delivery Service,Delivery,TAKE AWAY,20.0,0.0,True,modifier,,,
Conut - Tyre,Free Conut Spreads,Free Conut Spreads,NUTELLA SPREAD CONUT.,1271.0,0.0,True,modifier,,,
Conut - Tyre,Free Conut Spreads,Free Conut Spreads,LOTUS SPREAD CONUT.,17.0,0.0,True,modifier,,,
Conut - Tyre,Free Conut Spreads,Free Conut Spreads,WHITE CHOCOLATE SPREAD CONUT.,399.0,0.0,True,modifier,,,
Conut - Tyre,Free Conut Spreads,Free Conut Spreads,[NO SPREAD],1.0,0.0,True,modifier,,,
Conut - Tyre,Free Conut Spreads,Free Conut Spreads,PISTACHIO SPREAD CONUT.,4.0,121837.83,False,core_food,2.2e-05,107.0,1.0
Conut - Tyre,Free Conut Spreads,Free Conut Spreads,NO SPREAD.,18.0,0.0,True,modifier,,,
Conut - Tyre,Free Chimney Cake Spreads,Free Chimney Cake Spreads,NUTELLA SPREAD CHIMNEY.,1080.0,0.0,True,modifier,,,
Conut - Tyre,Free Chimney Cake Spreads,Free Chimney Cake Spreads,LOTUS SPREAD CHIMNEY.,43.0,0.0,True,modifier,,,
Conut - Tyre,Free Chimney Cake Spreads,Free Chimney Cake Spreads,WHITE CHOCOLATE SPREAD CHIMNEY.,222.0,0.0,True,modifier,,,
Conut - Tyre,Free Chimney Cake Spreads,Free Chimney Cake Spreads,PISTACHIO SPREAD CHIMNEY.,11.0,655540.53,False,core_food,0.000119,88.0,1.0
Conut - Tyre,Free Chimney Cake Spreads,Free Chimney Cake Spreads,NO SPREAD,32.0,0.0,True,modifier,,,
Conut - Tyre,ITEMS,ITEMS,CLASSIC CHIMNEY,301.0,179379731.76,False,core_food,0.03258,9.0,9.0
Conut - Tyre,ITEMS,ITEMS,MINI THE ONE,254.0,128832920.78,False,core_food,0.023399,12.0,12.0
Conut - Tyre,ITEMS,ITEMS,MINI THE ORIGINAL,184.0,87723242.07,False,core_food,0.015933,18.0,18.0
Conut - Tyre,ITEMS,ITEMS,CONUT THE ORIGINAL,380.0,328617838.79,False,core_food,0.059686,5.0,5.0
Conut - Tyre,ITEMS,ITEMS,CHIMNEY THE ORIGINAL,140.0,166864864.7,False,core_food,0.030307,10.0,10.0
Conut - Tyre,ITEMS,ITEMS,CONUT THE ONE,680.0,607864866.76,False,core_food,0.110404,2.0,2.0
Conut - Tyre,ITEMS,ITEMS,CHIMNEY THE ONE,635.0,794693917.66,False,core_food,0.144337,1.0,1.0
Conut - Tyre,ITEMS,ITEMS,MINI PISTACHIO,134.0,83938325.09,False,core_food,0.015245,20.0,19.0
Conut - Tyre,ITEMS,ITEMS,CONUT PISTACHIO,326.0,330273243.63,False,core_food,0.059986,4.0,4.0
Conut - Tyre,ITEMS,ITEMS,CHIMNEY PISTACHIO,227.0,324671350.36,False,core_food,0.058969,6.0,6.0
Conut - Tyre,ITEMS,ITEMS,MINI BOSTON CHEESECAKE,61.0,32717432.0,False,core_food,0.005942,27.0,25.0
Conut - Tyre,ITEMS,ITEMS,CONUT BOSTON CHEESECAKE,121.0,111849783.99,False,core_food,0.020315,13.0,13.0
Conut - Tyre,ITEMS,ITEMS,CHIMNEY BOSTON CHEESECAKE,60.0,78664864.7,False,core_food,0.014288,21.0,20.0
Conut - Tyre,ITEMS,ITEMS,MINI BERRY MIX,102.0,51736054.8,False,core_food,0.009397,25.0,24.0
Conut - Tyre,ITEMS,ITEMS,CONUT BERRY MIX,228.0,203813514.15,False,core_food,0.037018,8.0,8.0
Conut - Tyre,ITEMS,ITEMS,CHIMNEY BERRY MIX,86.0,107627837.67,False,core_food,0.019548,15.0,15.0
Conut - Tyre,ITEMS,ITEMS,ICE CREAM BOWL,266.0,158521623.42,False,core_food,0.028792,11.0,11.0
Conut - Tyre,ITEMS,ITEMS,CONUT BITES,114.0,74731622.3,False,core_food,0.013573,22.0,21.0
Conut - Tyre,ITEMS,ITEMS,CINNAMON SUGAR RINGS,22.0,9177567.45,False,core_food,0.001667,40.0,27.0
Conut - Tyre,ITEMS,ITEMS,CHOCOLATE CHIPS RINGS,5.0,2383783.75,False,core_food,0.000433,63.0,29.0
Conut - Tyre,ITEMS,ITEMS,CONUT TRIPLE CHOCOLATE,422.0,390087676.4,False,core_food,0.07085,3.0,3.0
Conut - Tyre,ITEMS,ITEMS,MINI TRIPLE CHOCOLATE,169.0,90643377.17,False,core_food,0.016463,16.0,16.0
Conut - Tyre,ITEMS,ITEMS,CHIMNEY TRIPLE CHOCOLATE,225.0,294993242.62,False,core_food,0.053579,7.0,7.0
Conut - Tyre,ITEMS,ITEMS,CHIMNEY COMBO.,18.0,70798378.86,False,core_food,0.012859,23.0,22.0
Conut - Tyre,ITEMS,ITEMS,CONUT COMBO,33.0,90464594.36,False,core_food,0.016431,17.0,17.0
Conut - Tyre,ITEMS,ITEMS,THE SHARING BOX.,66.0,110130811.28,False,core_food,0.020003,14.0,14.0
Conut - Tyre,ITEMS,ITEMS,THE ONE CONUT,33.0,0.0,True,modifier,,,
Conut - Tyre,ITEMS,ITEMS,THE ONE MINI,66.0,0.0,True,modifier,,,
Conut - Tyre,ITEMS,ITEMS,THE ONE CHIMNEY,18.0,0.0,True,modifier,,,
Conut - Tyre,ITEMS,ITEMS,PISTACHIO CONUT,33.0,0.0,True,modifier,,,
Conut - Tyre,ITEMS,ITEMS,PISTACHIO MINI,66.0,0.0,True,modifier,,,
Conut - Tyre,ITEMS,ITEMS,PISTACHIO CHIMNEY,18.0,0.0,True,modifier,,,
Conut - Tyre,ITEMS,ITEMS,TRIPLE CHOCOLATE CONUT,33.0,0.0,True,modifier,,,
Conut - Tyre,ITEMS,ITEMS,TRIPLE CHOCOLATE MINI,66.0,0.0,True,modifier,,,
Conut - Tyre,ITEMS,ITEMS,TRIPLE CHOCOLATE CHIMNEY,18.0,0.0,True,modifier,,,
Conut - Tyre,ITEMS,ITEMS,BOSTON CHEESECAKE CONUT,33.0,0.0,True,modifier,,,
Conut - Tyre,ITEMS,ITEMS,BOSTON CHEESECAKE MINI,66.0,0.0,True,modifier,,,
Conut - Tyre,ITEMS,ITEMS,BOSTON CHEESECAKE CHIMNEY,18.0,0.0,True,modifier,,,
Conut - Tyre,ITEMS,ITEMS,TIRAMISU MINI CONUT,14.0,8343243.34,False,core_food,0.001515,42.0,28.0
Conut - Tyre,ITEMS,ITEMS,TIRAMISU CONUT,33.0,31465946.01,False,core_food,0.005715,28.0,26.0
Conut - Tyre,ITEMS,ITEMS,TIRAMISU CHIMNEY,43.0,56376486.37,False,core_food,0.010239,24.0,23.0
Conut - Tyre,EXTRA MINI SPREAD,EXTRA MINI SPREAD,NUTELLA SPREAD MINI,6.0,357567.56,False,core_food,6.5e-05,97.0,1.0
Conut - Tyre,EXTRA MINI SPREAD,EXTRA MINI SPREAD,"NO SPREAD,.",129.0,0.0,True,modifier,,,
Conut - Tyre,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,NUTELLA SPREAD CONUT,16.0,1440864.84,False,core_food,0.000262,75.0,1.0
Conut - Tyre,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,LOTUS SPREAD CONUT,3.0,270162.16,False,core_food,4.9e-05,100.0,2.0
Conut - Tyre,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,WHITE CHOCOLATE SPREAD CONUT,2.0,180108.1,False,core_food,3.3e-05,105.0,3.0
Conut - Tyre,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,PISTACHIO SPREAD CONUT,1.0,119189.19,False,core_food,2.2e-05,108.0,4.0
Conut - Tyre,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,NO SPREAD..,427.0,0.0,True,modifier,,,
Conut - Tyre,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,NUTELLA SPREAD CHIMNEY,16.0,2860540.5,False,core_food,0.00052,59.0,1.0
Conut - Tyre,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,LOTUS SPREAD CHIMNEY,11.0,1966621.6,False,core_food,0.000357,65.0,2.0
Conut - Tyre,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,WHITE CHOCOLATE SPREAD CHIMNEY,2.0,357567.56,False,core_food,6.5e-05,97.0,4.0
Conut - Tyre,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,PISTACHIO SPREAD CHIMNEY,2.0,476756.75,False,core_food,8.7e-05,91.0,3.0
Conut - Tyre,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,"NO SPREAD,,",271.0,0.0,True,modifier,,,
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,CRUSHED OREO (R),1.0,90054.05,False,core_food,1.6e-05,109.0,9.0
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,BROWNIES (R),8.0,720432.42,False,core_food,0.000131,85.0,2.0
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,CRISPY CREPE (R),1.0,90054.05,False,core_food,1.6e-05,109.0,9.0
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,STRAWBERRIES (R),17.0,1530918.89,False,core_food,0.000278,74.0,1.0
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,BLUEBERRIES (P),2.0,238378.38,False,core_food,4.3e-05,102.0,7.0
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,RASPBERRIES (P),3.0,357567.56,False,core_food,6.5e-05,97.0,5.0
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,SPRINKLES (R),4.0,360216.21,False,core_food,6.5e-05,96.0,4.0
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,DARK CHOCOLATE SAUCE (R),1.0,90054.05,False,core_food,1.6e-05,109.0,9.0
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,CARAMEL SAUCE (R),1.0,90054.05,False,core_food,1.6e-05,109.0,9.0
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,PASSION FRUIT SAUCE (P),2.0,238378.38,False,core_food,4.3e-05,102.0,7.0
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,SALTED CARAMEL SAUCE (R),1.0,90054.05,False,core_food,1.6e-05,109.0,9.0
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,NUTELLA SAUCE (R),3.0,270162.16,False,core_food,4.9e-05,100.0,6.0
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,PISTACHIO SAUCE (P),1.0,119189.19,False,core_food,2.2e-05,108.0,8.0
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,"WHITE CHOCOLATE SAUCE, (R)",1.0,90054.05,False,core_food,1.6e-05,109.0,9.0
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,LOTUS SAUCE (R),1.0,90054.05,False,core_food,1.6e-05,109.0,9.0
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,FRUIT LOOPS (R),1.0,90054.05,False,core_food,1.6e-05,109.0,9.0
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,CHERRY JAM (P),2.0,238378.38,False,core_food,4.3e-05,102.0,7.0
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,GUMMY BEARS (R),1.0,90054.05,False,core_food,1.6e-05,109.0,9.0
Conut - Tyre,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,MARSHMALLOWS (R),6.0,540324.31,False,core_food,9.8e-05,89.0,3.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CRUSHED OREO.,30.0,5363513.44,False,core_food,0.000974,49.0,6.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CRUSHED LOTUS.,14.0,2502972.94,False,core_food,0.000455,62.0,11.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CRISPY CREPE.,4.0,715135.13,False,core_food,0.00013,86.0,16.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,BROWNIES.,36.0,6436216.13,False,core_food,0.001169,47.0,4.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,STRAWBERRY.,168.0,30035675.28,False,core_food,0.005455,29.0,1.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,SPRINKLES.,8.0,1430270.25,False,core_food,0.00026,76.0,14.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,BLUEBERRIES.,43.0,10250270.13,False,core_food,0.001862,38.0,3.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,RASPBERRIES.,15.0,3575675.63,False,core_food,0.000649,53.0,8.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,PEANUT BUTTER CUPS.,2.0,476756.75,False,core_food,8.7e-05,91.0,17.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,DARK CHOCOLATE SAUCE.,9.0,1609054.03,False,core_food,0.000292,72.0,13.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,NUTELLA SAUCE.,65.0,11620945.79,False,core_food,0.002111,37.0,2.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,LOTUS SAUCE.,19.0,3396891.85,False,core_food,0.000617,54.0,9.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,WHIPPED  CREAM.,8.0,1907027.0,False,core_food,0.000346,66.0,12.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CARAMEL SAUCE.,4.0,715135.13,False,core_food,0.00013,86.0,16.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,PISTACHIO SAUCE.,25.0,5959459.38,False,core_food,0.001082,48.0,5.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,DARK CHOCOLATE CHIPS.,8.0,1907027.0,False,core_food,0.000346,66.0,12.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,FRUIT LOOPS.,5.0,893918.91,False,core_food,0.000162,81.0,15.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,GRANOLA BERRIES.,2.0,476756.75,False,core_food,8.7e-05,91.0,17.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,RASPBERRY JAM.,1.0,238378.38,False,core_food,4.3e-05,102.0,19.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CHERRY JAM.,1.0,238378.38,False,core_food,4.3e-05,102.0,19.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,GUMMY BEARS.,16.0,2860540.5,False,core_food,0.00052,59.0,10.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,MARSHMALLOWS.,29.0,5184729.66,False,core_food,0.000942,50.0,7.0
Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,SALTED PRETZELS.,2.0,357567.56,False,core_food,6.5e-05,97.0,18.0
Conut - Tyre,EXTRA DIP,EXTRA DIP,NUTELLA DIP (R),6.0,715135.13,False,core_food,0.00013,86.0,2.0
Conut - Tyre,EXTRA DIP,EXTRA DIP,LOTUS DIP (R),1.0,119189.19,False,core_food,2.2e-05,108.0,6.0
Conut - Tyre,EXTRA DIP,EXTRA DIP,WHITE CHOCOLATE DIP (R),2.0,238378.38,False,core_food,4.3e-05,102.0,5.0
Conut - Tyre,EXTRA DIP,EXTRA DIP,CARAMEL DIP (R),2.0,238378.38,False,core_food,4.3e-05,102.0,5.0
Conut - Tyre,EXTRA DIP,EXTRA DIP,DARK CHOCOLATE DIP (R),3.0,357567.56,False,core_food,6.5e-05,97.0,4.0
Conut - Tyre,EXTRA DIP,EXTRA DIP,PISTACHIO DIP (P),5.0,1191891.88,False,core_food,0.000216,78.0,1.0
Conut - Tyre,EXTRA DIP,EXTRA DIP,RASPBERRY JAM DIP (P),1.0,238378.38,False,core_food,4.3e-05,102.0,5.0
Conut - Tyre,EXTRA DIP,EXTRA DIP,CHERRY JAM DIP (P),2.0,476756.75,False,core_food,8.7e-05,91.0,3.0
Conut - Tyre,free mini spread,FREE MINI SPREAD,NUTELLA SPREAD MINI.,526.0,0.0,True,modifier,,,
Conut - Tyre,free mini spread,FREE MINI SPREAD,LOTUS SPREAD MINI.,8.0,0.0,True,modifier,,,
Conut - Tyre,free mini spread,FREE MINI SPREAD,WHITE CHOCOLATE SPREAD MINI.,158.0,0.0,True,modifier,,,
Conut - Tyre,free mini spread,FREE MINI SPREAD,PISTACHIO SPREAD MINI.,4.0,121837.83,False,core_food,2.2e-05,107.0,1.0
Conut - Tyre,free mini spread,FREE MINI SPREAD,NO SPREAD .,85.0,0.0,True,modifier,,,
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,"STRAWBERRY , (R)",1221.0,0.0,True,modifier,,,
Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,"BLUEBERRIES, (P)",58.0,1766648.59,False,core_food,0.000321,70.0,3.0
