basket_id,branch,customer,items_list,unique_items,net_qty,net_total
1,Conut - Tyre,Person_0129,['PISTACHIO MILKSHAKE'],1,1.0,893918.92
2,Conut - Tyre,Person_0130,"['CHIMNEY THE ONE', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE', 'LOTUS SAUCE.', 'STRAWBERRY.']",5,5.0,2443378.37
3,Conut - Tyre,Person_0131,"['CLASSIC CHIMNEY', 'CONUT THE ONE', 'DELIVERY CHARGE', 'MOCHA FRAPPE', 'MOCHA FRAPPE', 'STRAWBERRY.']",5,6.0,2979729.71
4,Conut - Tyre,Person_0132,"['CONUT PISTACHIO', 'CONUT TRIPLE CHOCOLATE', 'DELIVERY CHARGE']",3,3.0,2175864.87
5,Conut - Tyre,Person_0133,"['CHIMNEY BERRY MIX', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY TRIPLE CHOCOLATE', 'CLASSIC CHIMNEY', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE']",5,7.0,6495810.8
6,Conut - Tyre,Person_0134,"['DELIVERY CHARGE', 'MINI BERRY MIX', 'MINI PISTACHIO']",3,3.0,1372000.01
7,Conut - Tyre,Person_0135,"['CHIMNEY THE ONE', 'DELIVERY CHARGE', 'NUTELLA SAUCE.']",3,3.0,1668648.64
8,Conut - Tyre,Person_0136,['WATER'],1,1.0,79459.45
9,Conut - Tyre,Person_0137,['ICE CREAM BOWL'],1,1.0,595945.95
9,Conut Jnah,Person_0137,"['CHIMNEY TRIPLE CHOCOLATE', 'DELIVERY CHARGE', 'DELIVERY CHARGE', 'THE SHARING BOX.', 'CHIMNEY THE ONE', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE', 'ADD ICE CREAM', 'CHIMNEY BERRY MIX', 'CHIMNEY BOSTON CHEESECAKE', 'DELIVERY CHARGE', 'CHIMNEY THE ONE', 'CHIMNEY TRIPLE CHOCOLATE', 'CONUT BITES', 'CONUT BITES', 'DELIVERY CHARGE', 'CHIMNEY BERRY MIX', 'CONUT THE ONE', 'CONUT TRIPLE CHOCOLATE', 'DELIVERY CHARGE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE', 'STRAWBERRY.', 'CHIMNEY TRIPLE CHOCOLATE', 'DELIVERY CHARGE', 'CLASSIC CHIMNEY', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE', 'CHIMNEY THE ONE', 'CHIMNEY TRIPLE CHOCOLATE', 'DELIVERY CHARGE', 'DELIVERY CHARGE', 'NUTELLA SAUCE.', 'STRAWBERRY.', 'THE SHARING BOX.', 'CONUT BERRY MIX', 'DELIVERY CHARGE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE', 'CHIMNEY THE ORIGINAL', 'CONUT BERRY MIX', 'CONUT THE ONE', 'DELIVERY CHARGE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE', 'CHIMNEY BOSTON CHEESECAKE', 'CHIMNEY THE ONE', 'CHIMNEY THE ORIGINAL', 'DELIVERY CHARGE', 'CHIMNEY BERRY MIX', 'DELIVERY CHARGE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE', 'CONUT COMBO', 'CONUT THE ONE', 'CONUT THE ONE', 'CONUT TRIPLE CHOCOLATE', 'DELIVERY CHARGE', 'DELIVERY CHARGE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE', 'CLASSIC CHIMNEY', 'CLASSIC CHIMNEY', 'DELIVERY CHARGE', 'CAFFE LATTE', 'CHIMNEY THE ONE', 'DELIVERY CHARGE', 'MINI THE ONE']",18,77.0,59745567.519999996
10,Conut Jnah,Person_0138,"['CHIMNEY PISTACHIO', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CONUT TRIPLE CHOCOLATE', 'SINGLE ESPRESSO', 'SINGLE ESPRESSO', 'WATER', 'WATER']",5,9.0,6744783.75
11,Conut Jnah,Person_0139,"['CHIMNEY THE ONE', 'CHIMNEY TRIPLE CHOCOLATE', 'CHIMNEY TRIPLE CHOCOLATE', 'TOFFEE NUT MILKSHAKE']",3,4.0,4648378.37
12,Conut Jnah,Person_0140,"['CHOCOLATE SAUCE', 'CLASSIC CHIMNEY', 'HOT MILK', 'HOT MILK', 'VANILLA SYRUP']",4,5.0,1133621.61
13,Conut Jnah,Person_0141,"['CHIMNEY BOSTON CHEESECAKE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY TRIPLE CHOCOLATE', 'CHIMNEY TRIPLE CHOCOLATE', 'CLASSIC CHIMNEY', 'FRUIT LOOPS MILKSHAKE', 'MINI THE ONE', 'PISTACHIO SAUCE ,(P)', 'WATER']",8,11.0,9685594.57
14,Conut Jnah,Person_0142,"['BLUEBERRIES.', 'BLUEBERRIES.', 'BLUEBERRIES.', 'BROWNIES.', 'CAFFE LATTE', 'CARAMEL MACHIATO', 'CHIMNEY BERRY MIX', 'CHIMNEY PISTACHIO', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CLASSIC CHIMNEY', 'DOUBLE CHOCOLATE MILKSHAKE', 'NUTELLA SAUCE.', 'NUTELLA SPREAD CHIMNEY', 'WATER']",12,18.0,12594324.26
15,Conut Jnah,Person_0143,['AFFOGATO'],1,1.0,536351.34
16,Conut Jnah,Person_0144,"['CAFFE LATTE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'WATER', 'WATER']",3,6.0,4330540.5
17,Conut Jnah,Person_0145,"['DELIVERY CHARGE', 'MINI BERRY MIX', 'MINI THE ONE', 'PISTACHIO SPREAD MINI.']",4,4.0,1283270.28
19,Conut Jnah,Person_0147,"['CHIMNEY THE ONE', 'CHIMNEY THE ONE', 'SINGLE ESPRESSO', 'TIRAMISU CHIMNEY', 'TIRAMISU CHIMNEY', 'WATER']",4,6.0,5442972.95
