branch,customer,basket_id,item,qty,price
Conut - Tyre,Person_0129,1,FULL FAT MILK,-1.0,0.0
Conut - Tyre,Person_0129,1,FULL FAT MILK,1.0,0.0
Conut - Tyre,Person_0129,1,PISTACHIO MILKSHAKE,1.0,893918.92
Conut - Tyre,Person_0129,1,PISTACHIO MILKSHAKE,-1.0,-893918.92
Conut - Tyre,Person_0129,1,WHIPPED CREAM...,-1.0,0.0
Conut - Tyre,Person_0129,1,WHIPPED CREAM...,1.0,0.0
Conut - Tyre,Person_0130,2,"CARAMEL SAUCE, (R)",1.0,0.0
Conut - Tyre,Person_0130,2,CHIMNEY THE ONE,1.0,1251486.48
Conut - Tyre,Person_0130,2,CLASSIC CHIMNEY,1.0,595945.95
Conut - Tyre,Person_0130,2,DELIVERY CHARGE,1.0,238378.38
Conut - Tyre,Person_0130,2,LOTUS SAUCE.,1.0,178783.78
Conut - Tyre,Person_0130,2,NUTELLA SPREAD CHIMNEY.,1.0,0.0
Conut - Tyre,Person_0130,2,PRESSED,1.0,0.0
Conut - Tyre,Person_0130,2,"STRAWBERRY,(R)",1.0,0.0
Conut - Tyre,Person_0130,2,STRAWBERRY.,1.0,178783.78
Conut - Tyre,Person_0130,2,WHITE CHOCOLATE SPREAD CHIMNEY.,1.0,0.0
Conut - Tyre,Person_0131,3,[CHOCOLATE DRESSING],1.0,0.0
Conut - Tyre,Person_0131,3,[CHOCOLATE DRESSING],1.0,0.0
Conut - Tyre,Person_0131,3,CLASSIC CHIMNEY,1.0,595945.95
Conut - Tyre,Person_0131,3,CONUT THE ONE,1.0,893918.92
Conut - Tyre,Person_0131,3,DELIVERY CHARGE,1.0,238378.38
Conut - Tyre,Person_0131,3,FULL FAT MILK,1.0,0.0
Conut - Tyre,Person_0131,3,FULL FAT MILK,1.0,0.0
Conut - Tyre,Person_0131,3,MOCHA FRAPPE,1.0,536351.34
Conut - Tyre,Person_0131,3,MOCHA FRAPPE,1.0,536351.34
Conut - Tyre,Person_0131,3,NO TOPPINGS.,1.0,0.0
Conut - Tyre,Person_0131,3,NUTELLA SPREAD CHIMNEY.,1.0,0.0
Conut - Tyre,Person_0131,3,NUTELLA SPREAD CONUT.,1.0,0.0
Conut - Tyre,Person_0131,3,PRESSED,1.0,0.0
Conut - Tyre,Person_0131,3,REGULAR.,1.0,0.0
Conut - Tyre,Person_0131,3,REGULAR.,1.0,0.0
Conut - Tyre,Person_0131,3,"STRAWBERRY , (R)",1.0,0.0
Conut - Tyre,Person_0131,3,STRAWBERRY.,1.0,178783.78
Conut - Tyre,Person_0131,3,WHIPPED CREAM...,1.0,0.0
Conut - Tyre,Person_0131,3,WHIPPED CREAM...,1.0,0.0
Conut - Tyre,Person_0132,4,"BROWNIES , (R)",1.0,0.0
Conut - Tyre,Person_0132,4,CONUT PISTACHIO,1.0,1013108.11
Conut - Tyre,Person_0132,4,CONUT TRIPLE CHOCOLATE,1.0,924378.38
Conut - Tyre,Person_0132,4,DELIVERY CHARGE,1.0,238378.38
Conut - Tyre,Person_0132,4,NO SPREAD..,1.0,0.0
